SLNO,Candidate.Ref,DOJ.Extended,Duration.to.accept.offer,Notice.period,Offered.band,Pecent.hike.expected.in.CTC,Percent.hike.offered.in.CTC,Percent.difference.CTC,Joining.Bonus,Candidate.relocate.actual,Gender,Candidate.Source,Rex.in.Yrs,LOB,Joining Location,Age,Status,Joining Status
1,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,ERS,Noida,34,Joined,0
2,2112635,No,18,30,E2,50,320,180,No,No,Male,Employee Referral,8,INFRA,Chennai,34,Joined,0
3,2112838,No,3,45,E2,42.84,42.84,0,No,No,Male,Agency,4,INFRA,Noida,27,Joined,0
4,2115021,No,26,30,E2,42.84,42.84,0,No,No,Male,Employee Referral,4,INFRA,Noida,34,Joined,0
5,2115125,Yes,1,120,E2,42.59,42.59,0,No,Yes,Male,Employee Referral,6,INFRA,Noida,34,Joined,0
6,2117167,Yes,17,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,INFRA,Noida,34,Joined,0
7,2119124,Yes,37,30,E2,31.58,31.58,0,No,No,Male,Employee Referral,7,INFRA,Noida,32,Joined,0
8,2127572,Yes,16,0,E1,-20,-20,0,No,No,Female,Direct,8,Healthcare,Noida,34,Joined,0
9,2138169,No,1,30,E1,-22.22,-22.22,0,No,No,Female,Employee Referral,3,BFSI,Gurgaon,26,Joined,0
10,2143362,No,6,30,E1,240,220,-5.88,No,No,Male,Employee Referral,3,CSMP,Chennai,34,Joined,0
11,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,INFRA,Noida,34,Not Joined,1
12,2154264,No,3,0,E2,28.21,37.18,7,No,No,Male,Employee Referral,7,INFRA,Chennai,34,Joined,0
13,2156236,Yes,14,30,E2,50,287.5,158.33,No,No,Male,Agency,7,INFRA,Noida,29,Not Joined,1
14,2158703,No,44,75,E2,45.45,60,10,No,No,Male,Direct,8,INFRA,Noida,34,Not Joined,1
15,2161257,No,7,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,34,Not Joined,1
16,2162487,No,1,30,E3,-27.31,-27.31,0,No,No,Male,Direct,18,ETS,Bangalore,34,Joined,0
17,2166041,Yes,98,30,E2,50,165.36,76.91,No,No,Male,Agency,8,INFRA,Noida,36,Not Joined,1
18,2172982,No,1,0,E2,30,30,0,No,No,Male,Direct,6,INFRA,Noida,34,Joined,0
19,2173730,No,1,30,E1,-13.42,42.86,65,No,No,Male,Direct,1,INFRA,Gurgaon,34,Joined,0
20,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,ERS,Noida,34,Joined,0
21,2175323,No,1,0,E3,42.78,42.78,0,No,Yes,Male,Employee Referral,8,INFRA,Chennai,29,Joined,0
22,2184108,No,0,30,E1,37.5,37.5,0,No,No,Female,Employee Referral,3,ERS,Chennai,30,Joined,0
23,2188014,No,1,0,E2,42.86,42.86,0,No,No,Male,Direct,5,INFRA,Noida,30,Joined,0
24,2191237,Yes,83,60,E2,25,25,0,No,No,Male,Direct,5,AXON,Noida,30,Joined,0
25,2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,INFRA,Noida,31,Joined,0
26,2205244,No,16,60,E1,41.18,0,-29.17,No,No,Male,Direct,7,AXON,Noida,31,Not Joined,1
27,2205496,Yes,32,120,E3,50.97,57,4,No,No,Male,Direct,13,ERS,Chennai,40,Joined,0
28,2207823,Yes,19,30,E2,42.85,42.85,0,No,No,Male,Direct,7,INFRA,Noida,28,Joined,0
29,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,BFSI,Chennai,34,Not Joined,1
30,2214217,No,4,30,E2,-2.17,-2.17,0,No,No,Female,Employee Referral,5,ERS,Chennai,33,Joined,0
31,2214446,No,38,45,E2,42.11,42.11,0,No,No,Male,Direct,13,BFSI,Chennai,25,Joined,0
32,2221643,No,0,30,E3,-14.91,-14.91,0,No,Yes,Male,Employee Referral,15,INFRA,Noida,44,Joined,0
33,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,ERS,Hyderabad,23,Not Joined,1
34,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,INFRA,Chennai,29,Not Joined,1
35,2222936,Yes,10,60,E3,25,29.17,3.33,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined,0
36,2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,AXON,Bangalore,30,Joined,0
